machine,idle_power,breakdown_start,breakdown_end
0,5,258,260
0,5,261,267
0,5,469,488
0,5,525,525
0,5,560,569
0,5,796,809
0,5,1183,1193
0,5,1271,1313
0,5,1737,1750
0,5,1872,1881
0,5,2019,2034
0,5,2201,2202
0,5,2218,2227
0,5,2265,2269
0,5,2350,2352
0,5,2536,2538
0,5,3298,3299
0,5,3309,3311
0,5,3351,3369
0,5,3457,3461
0,5,3792,3794
0,5,3918,3925
0,5,3936,3939
0,5,4314,4359
1,5,297,315
1,5,577,582
1,5,2106,2107
1,5,2150,2151
1,5,2525,2528
1,5,2542,2544
1,5,2552,2554
1,5,2728,2742
1,5,2822,2846
1,5,3008,3013
1,5,3166,3189
1,5,3247,3249
1,5,3385,3389
1,5,3485,3492
1,5,3663,3666
1,5,3899,3902
1,5,3984,3988
1,5,3992,4001
1,5,4038,4051
1,5,4172,4176
1,5,4337,4340
1,5,4363,4364
1,5,4444,4445
1,5,4613,4614
1,5,4635,4643
1,5,4721,4727
1,5,4885,4885
1,5,4899,4902
2,6,397,399
2,6,410,412
2,6,475,477
2,6,548,561
2,6,930,960
2,6,1011,1015
2,6,1294,1299
2,6,1337,1349
2,6,1711,1732
2,6,1840,1846
2,6,1870,1871
2,6,2287,2303
2,6,2943,2947
2,6,2961,2977
2,6,3032,3033
2,6,3215,3218
2,6,3413,3428
2,6,3494,3533
2,6,3824,3826
2,6,4105,4116
2,6,4260,4269
2,6,4648,4648
2,6,4672,4678
2,6,4831,4835
2,6,4860,4860
2,6,4877,4900
3,8,34,41
3,8,197,201
3,8,279,281
3,8,951,958
3,8,1874,1899
3,8,2019,2033
3,8,2119,2133
3,8,2436,2441
3,8,2990,3023
3,8,3162,3170
3,8,3443,3444
3,8,3460,3461
3,8,3639,3642
3,8,3700,3706
3,8,3815,3824
3,8,4027,4029
3,8,4097,4106
3,8,4538,4543
4,1,181,187
4,1,260,260
4,1,495,495
4,1,509,516
4,1,900,909
4,1,969,970
4,1,1016,1074
4,1,1271,1277
4,1,1310,1314
4,1,1382,1412
4,1,1416,1425
4,1,1509,1515
4,1,1536,1554
4,1,1634,1644
4,1,1798,1804
4,1,1907,1929
4,1,2050,2058
4,1,2208,2212
4,1,2304,2320
4,1,2889,2911
4,1,2964,2982
4,1,3240,3248
4,1,3470,3474
4,1,3556,3558
4,1,3852,3852
4,1,4241,4246
4,1,4451,4456
4,1,4790,4793
4,1,4936,4952
5,8,227,233
5,8,517,536
5,8,584,606
5,8,848,856
5,8,885,890
5,8,1118,1121
5,8,1269,1275
5,8,1282,1298
5,8,1858,1861
5,8,2028,2041
5,8,2042,2049
5,8,2074,2074
5,8,2125,2130
5,8,2947,2977
5,8,3148,3149
5,8,3321,3323
5,8,3369,3373
5,8,3540,3543
5,8,3866,3875
5,8,4138,4138
5,8,4320,4333
5,8,4415,4430
5,8,4796,4796
5,8,4960,4975
6,3,292,303
6,3,345,363
6,3,580,584
6,3,677,694
6,3,899,905
6,3,983,991
6,3,991,1023
6,3,1284,1333
6,3,1687,1712
6,3,1769,1777
6,3,1913,1913
6,3,2427,2430
6,3,2433,2444
6,3,2497,2500
6,3,2701,2702
6,3,2883,2884
6,3,2935,2947
6,3,3812,3815
6,3,4665,4673
7,3,10,30
7,3,286,288
7,3,472,473
7,3,513,515
7,3,693,694
7,3,902,909
7,3,1252,1255
7,3,1294,1303
7,3,1353,1358
7,3,1383,1386
7,3,1450,1507
7,3,1549,1555
7,3,1587,1591
7,3,1940,1966
7,3,1988,1995
7,3,2025,2046
7,3,2363,2373
7,3,3048,3050
7,3,3204,3204
7,3,3230,3230
7,3,3355,3406
7,3,3793,3811
7,3,3820,3828
7,3,3870,3877
7,3,3912,3918
7,3,4316,4319
7,3,4373,4392
7,3,4498,4509
7,3,4537,4544
7,3,4735,4737
7,3,4820,4835
7,3,4840,4850
7,3,4975,4990
8,7,7,31
8,7,141,141
8,7,298,318
8,7,344,345
8,7,772,780
8,7,894,894
8,7,983,1010
8,7,1422,1422
8,7,2047,2050
8,7,2120,2124
8,7,2314,2318
8,7,2362,2366
8,7,2675,2684
8,7,2873,2875
8,7,3156,3159
8,7,3326,3345
8,7,3433,3449
8,7,3701,3701
8,7,3738,3739
8,7,3766,3769
8,7,3975,4011
8,7,4050,4051
8,7,4129,4130
8,7,4258,4265
8,7,4508,4522
8,7,4730,4734
8,7,4735,4748
8,7,4757,4757
9,6,158,170
9,6,427,447
9,6,862,871
9,6,1389,1392
9,6,1534,1538
9,6,1573,1574
9,6,1979,1990
9,6,2216,2219
9,6,2971,2982
9,6,3299,3311
9,6,3676,3682
9,6,3870,3871
9,6,3970,3977
9,6,4047,4073
9,6,4338,4354
9,6,4532,4560
10,9,889,910
10,9,941,941
10,9,995,1001
10,9,1052,1056
10,9,1157,1163
10,9,1395,1404
10,9,1482,1503
10,9,1795,1795
10,9,1994,2034
10,9,2102,2167
10,9,2272,2279
10,9,2309,2309
10,9,2346,2346
10,9,2659,2664
10,9,2715,2718
10,9,3122,3128
10,9,3170,3174
10,9,3326,3334
10,9,3677,3683
10,9,4239,4244
10,9,4275,4293
10,9,4388,4394
10,9,4465,4468
11,3,243,260
11,3,802,813
11,3,917,917
11,3,1156,1159
11,3,1325,1337
11,3,1550,1566
11,3,1572,1592
11,3,1932,1935
11,3,2498,2501
11,3,2887,2912
11,3,3161,3173
11,3,3298,3301
11,3,3303,3319
11,3,3361,3372
11,3,3570,3574
11,3,3655,3659
11,3,3871,3879
11,3,4548,4561
11,3,4797,4798
11,3,4817,4821
12,3,189,189
12,3,487,490
12,3,493,509
12,3,530,531
12,3,1049,1052
12,3,1255,1261
12,3,1457,1461
12,3,1725,1730
12,3,1730,1732
12,3,1773,1785
12,3,1908,1933
12,3,2155,2155
12,3,2338,2381
12,3,2528,2535
12,3,3137,3154
12,3,3450,3457
12,3,3491,3494
12,3,3801,3810
12,3,3937,3953
12,3,4091,4097
12,3,4337,4339
12,3,4500,4512
12,3,4650,4659
13,3,4,13
13,3,222,223
13,3,1150,1154
13,3,1274,1280
13,3,1576,1578
13,3,1717,1722
13,3,1888,1898
13,3,1960,1963
13,3,2010,2012
13,3,2579,2592
13,3,3475,3476
13,3,4120,4133
13,3,4246,4259
13,3,4332,4346
13,3,4741,4772
13,3,4980,4981
14,3,83,97
14,3,103,139
14,3,565,575
14,3,724,732
14,3,840,846
14,3,915,925
14,3,1091,1098
14,3,1159,1164
14,3,1514,1516
14,3,1564,1585
14,3,1765,1776
14,3,1940,1942
14,3,2121,2136
14,3,2467,2467
14,3,2710,2717
14,3,3005,3015
14,3,3284,3333
14,3,3412,3439
14,3,3538,3555
14,3,3733,3778
14,3,3916,3923
14,3,4093,4105
14,3,4118,4145
14,3,4304,4315
14,3,4422,4425
14,3,4659,4673
14,3,4673,4675
