kind,task,machine_selectable,process_time,power
0,0,"(1, 11, 7, 3, 13, 2, 4)","(13, 6, 1, 16, 5, 16, 8)","(169, 138, 32, 53, 97, 11, 123)"
0,1,"(0, 14, 13, 8, 1, 5)","(11, 20, 12, 10, 12, 17)","(105, 106, 104, 40, 70, 125)"
0,2,"(12, 1)","(18, 16)","(106, 91)"
0,3,"(0, 3, 12, 9, 13, 14, 11, 4, 10, 1)","(16, 17, 14, 19, 8, 5, 15, 18, 12, 3)","(167, 67, 127, 75, 175, 120, 21, 186, 186, 161)"
0,4,"(11, 13, 0, 10, 1, 12, 2, 7, 3, 9, 6)","(1, 3, 18, 12, 8, 10, 2, 9, 3, 2, 17)","(29, 91, 163, 184, 200, 118, 120, 159, 139, 133, 92)"
1,0,"(10, 9, 13)","(15, 2, 16)","(52, 94, 26)"
1,1,"(3, 4, 0, 2, 5, 7, 14, 6, 10)","(17, 6, 1, 19, 1, 9, 9, 11, 10)","(146, 138, 111, 64, 146, 134, 102, 96, 23)"
1,2,"(9, 8, 13, 7, 11, 6, 2, 4, 5, 14, 12, 3, 1, 10)","(19, 17, 12, 6, 13, 7, 10, 1, 12, 3, 4, 16, 11, 19)","(139, 15, 65, 130, 107, 102, 78, 178, 130, 18, 33, 31, 118, 31)"
1,3,"(13, 4, 3)","(18, 8, 8)","(34, 178, 175)"
1,4,"(14, 7, 2)","(20, 19, 20)","(57, 105, 76)"
1,5,"(0, 13, 5, 4, 10)","(18, 10, 3, 8, 15)","(176, 38, 167, 78, 64)"
1,6,"(8, 11, 3, 0, 6, 7, 10, 5, 14, 4, 2, 13, 12)","(20, 16, 8, 7, 12, 18, 7, 12, 11, 2, 16, 20, 4)","(158, 106, 100, 116, 191, 190, 164, 188, 114, 160, 125, 65, 53)"
2,0,"(3, 9, 13, 4, 12, 10)","(19, 17, 6, 5, 15, 7)","(192, 15, 38, 115, 72, 15)"
2,1,"(0, 6, 10, 2, 8, 5, 9, 14, 7, 11, 4)","(5, 15, 13, 2, 11, 14, 17, 12, 4, 6, 20)","(32, 104, 138, 105, 49, 105, 32, 44, 42, 102, 188)"
2,2,"(0,)","(2,)","(48,)"
2,3,"(1, 2, 6, 14, 4, 8, 12, 7, 13, 9)","(6, 4, 4, 9, 4, 17, 5, 11, 19, 16)","(48, 154, 106, 166, 189, 178, 118, 79, 47, 152)"
2,4,"(13, 8, 14, 1, 3)","(13, 2, 18, 6, 5)","(54, 173, 106, 51, 163)"
2,5,"(0, 2)","(10, 16)","(156, 74)"
2,6,"(12, 1, 10, 5, 4, 9, 6, 2, 0, 3, 14, 11, 8, 13)","(20, 10, 9, 15, 3, 7, 9, 19, 19, 9, 3, 14, 20, 7)","(112, 122, 36, 76, 133, 63, 116, 196, 177, 58, 143, 95, 82, 55)"
